book_dimensions,count
38-43 cm,2
39-43 cm,2
33 x 4⁰ cm,2
4⁰ x 21 cm,2
52 cm (2⁰,2
15 cm (4⁰,2
1/2⁰ (33 x 21 cm,2
38-46 cm,2
35 x 24 cm,2
4⁰ mostly in 8's,2
17 x 17 cm,2
62 x 5⁰ cm,2
29 cm (4⁰,2
47 cm. (2⁰,2
43 x 18 cm,2
24 x 12 cm,2
4⁰ cm (2⁰),2
47 x 19 cm,2
19 x 11 cm,2
2⁰ cm. (4to and 8vo,2
35 cm. (fol,2
15 x 11 cm,2
12 x 14 cm,2
4⁰ 8.6,2
19 x 9 cm,2
36 x 31 cm,2
22 cm.,2
33 cm. (2⁰,2
48mo,2
17 cm. (8⁰,2
17 cm (8⁰),2
26 cm. 2⁰,2
27 x 19 cm,2
1/2⁰ and 2⁰.,2
33 x 1⁰ cm,2
47 x 29 cm,2
64 x 44 cm,2
15 x 24 cm,2
15 cm. (8⁰,2
39 x 23 cm,2
39-44 cm,2
fewer than 5⁰ pages,2
27-28 cm. (4⁰,2
51 x 2⁰ cm,2
2o,2
1/4⁰?,2
19 x 22 cm,2
18 cm. (8⁰,2
15 x 21 cm,2
54 x 43 cm,2
43-51 cm,2
8 x 1⁰ cm,2
21 cm. 4⁰,2
31 x 12 cm,2
49 x 4⁰ cm,2
32 x 29 cm,2
32 x 13 cm,2
14 cm. (12mo and 18mo,2
35 cm. (1/2⁰,2
35 x 27 cm,2
53 x 33 cm,2
17 x 1⁰ cm,2
1/3⁰,2
8o.,2
2⁰(1 and a half,2
28 x 16 cm,2
13 x 22 cm.,2
49 cm. (2⁰,2
25 x 26 cm,2
21 x 19 cm,2
128⁰? in 8's,2
ill. (relief cuts,2
8⁰ (23.5 cm,2
38 cm (1/2⁰,2
51-52 cm,2
18 x 11 cm,2
8⁰&4⁰,2
37-46 cm (2⁰,2
4⁰ cm. (1/2⁰,2
1/2 ⁰,2
1⁰..,2
46 x 26 cm,2
5.5 cm,2
1/2⁰�,2
27 cm (2⁰,2
obl./2⁰,2
2⁰ (32 cm,2
23-31 cm,2
4 ⁰,2
41 x 21 cm,2
4⁰&2⁰,2
18 x 16 cm,2
36 cm. (2⁰,2
49 x 43 cm,2
1/2⁰ ,2
48 x 16 cm,2
18 cm. (12mo,2
3⁰cm (2⁰,2
17 cm. (12 mo,2
6 x 15 cm,2
2⁰; 4⁰,2
1774,2
lon. 24⁰,2
14 x 27 cm,2
44 x 31 cm,2
1/obl.4⁰,2
37 x 28 cm,2
oblong 4⁰,2
6⁰ cm,2
4⁰ (29 cm,2
15 cm.,2
obl.2⁰ and 4⁰,2
34 x 12 cm,2
55 x 44 cm,2
12 x 17 cm,2
19 x 24 cm,2
8⁰ (18 cm,2
32cm (1/2⁰,2
8⁰ | octavo,2
27 x 34 cm (2⁰),2
49 cm (2⁰),2
37-47 cm (2⁰,2
22 x 22 cm,2
41-48 cm,2
31-46 cm,2
5⁰ x 37 cm,2
1⁰ x 24 cm,2
42 x 28 cm,2
16 cm 8⁰,2
2⁰ x 32 cm (2⁰),2
4⁰ x 23 cm,2
1⁰ x 17 cm,2
13 x 26 cm,2
57 x 47 cm,2
43 x 19 cm,2
33 x 42 cm,2
33 x 14 cm,2
8⁰ (23 cm,2
36 x 14 cm,2
11 x 13 cm,2
3⁰ x 17 cm,2
7 x 13 cm,2
54 cm,2
66 cm,2
18 cm (12⁰ in 6s,2
55 x 45 cm,2
47-49 cm,2
oblong 1/8⁰.,2
17 x 8 cm,2
27cm. (4⁰,2
42 x 36 cm,2
19 x 2⁰ cm,2
37 x 21 cm,2
37 x 18 cm,2
49-53 cm,2
1⁰ x 2⁰ cm,2
32 x 2⁰ cm. (1/2,2
1\2⁰,2
17 cm (4⁰,2
12⁰ (18 cm,2
15 x 9 cm,2
37 x 2⁰ cm,2
obl.4⁰ and 4⁰,2
3⁰ x 13 cm,2
44 x 25 cm,2
2⁰(2).,2
29 cm. (1/2⁰,2
38 x 28 cm,2
39 x 21 cm,2
1⁰ x 13 cm,2
47 x 4⁰ cm,2
22 x 13 cm,2
16 x 21 cm,2
45 x 2⁰ cm,2
34 x 11 cm,2
4⁰ in 8s,2
64 x 41 cm,2
obl. 16⁰? in 8's,2
4⁰4.6,2
89,2
5⁰ cm (1⁰,2
7 x 19 cm,2
56 cm,2
47-56 cm,2
25 x 22 cm,2
33 x 41 cm,2
